month_year,state,fips,new_case,state_pop,new_case_per
03/2020,AL,01,2975,4888949,60.851524530118844
03/2020,AR,05,560,3020327,18.541038768318792
03/2020,AS,60,0,55197,0.0
03/2020,AZ,04,1288,7123898,18.079989354142914
03/2020,CA,06,16538,39776830,41.57696830038995
03/2020,CO,08,2937,5684203,51.66951285870684
03/2020,CT,09,3128,3588683,87.16289513451035
03/2020,DE,10,414,971180,42.62855495376758
03/2020,FL,12,6515,21312211,30.56932947970532
03/2020,GA,13,4234,10545138,40.151205228419016
03/2020,GU,66,71,168783,42.06584786382515
03/2020,HI,15,283,1426393,19.840254403940566
03/2020,IA,19,497,3160553,15.725096209429173
03/2020,ID,16,525,1753860,29.9339742054668
03/2020,IL,17,5992,12768320,46.92864840480188
03/2020,IN,18,2159,6699629,32.22566503309362
03/2020,KS,20,428,2918515,14.664992299165842
03/2020,KY,21,841,4472265,18.804789072203906
03/2020,LA,22,5237,4682509,111.84174979695715
03/2020,MA,25,6619,6895917,95.98433391817215
03/2020,MD,24,1660,6079602,27.304418940581964
03/2020,ME,23,303,1341582,22.585276188857634
03/2020,MI,26,19903,9991177,199.20575924137867
03/2020,MN,27,689,5628162,12.242007248547573
03/2020,MO,29,2558,6135888,41.68915729882944
03/2020,MP,69,2,57557,3.474816269089772
03/2020,MS,28,2242,2982785,75.16465316809627
03/2020,MT,30,203,1062330,19.108939783306504
03/2020,NC,37,2314,10390149,22.271095438573596
03/2020,ND,38,126,755238,16.68348255781621
03/2020,NE,31,180,1932549,9.314123471125441
03/2020,NH,33,367,1350575,27.173611239657184
03/2020,NJ,34,18696,9032872,206.97736002458575
03/2020,NM,35,315,2090708,15.066666411569669
03/2020,NV,32,1113,3056824,36.410339620468825
03/2020,NY,36,32656,19862512,164.41022162755647
03/2020,NYC,36061,53869,8400000,641.297619047619
03/2020,OH,39,2199,11694664,18.803447452616
03/2020,OK,40,1627,3940521,41.288956460325934
03/2020,OR,41,689,4199563,16.406468958794047
03/2020,PA,42,4959,12823989,38.6697150161311
03/2020,PR,72,430,3400000,12.647058823529411
03/2020,PW,70,0,18092,0.0
03/2020,RI,44,511,1061712,48.12981298129813
03/2020,SC,45,978,5088916,19.218238225979757
03/2020,SD,46,108,877790,12.30362615204092
03/2020,TN,47,3231,6782564,47.63685237618104
03/2020,TX,48,3266,28704330,11.378074318404227
03/2020,UT,49,934,3159345,29.563089817667905
03/2020,VA,51,1484,8525660,17.406277050691678
03/2020,VI,78,30,106290,28.22466836014677
03/2020,VT,50,271,623960,43.43227129944227
03/2020,WA,53,5340,7530552,70.91113639478222
03/2020,WI,55,1351,5818049,23.220842588297213
03/2020,WV,54,162,1803077,8.98464125492145
03/2020,WY,56,120,573720,20.916126333403056
03/2021,AK,02,4207,738068,570.0016800619997
03/2021,AL,01,13740,4888949,281.0419990063304
03/2021,AR,05,7983,3020327,264.3091294419445
03/2021,AS,60,-4,55197,-7.246770657825606
03/2021,AZ,04,25029,7123898,351.33855088885326
03/2021,CA,06,82487,39776830,207.37449414646667
03/2021,CO,08,32085,5684203,564.459080718968
03/2021,CT,09,30942,3588683,862.2104543644562
03/2021,DE,10,7193,971180,740.645400440701
03/2021,FL,12,151493,21312211,710.8272342085952
03/2021,GA,13,53027,10545138,502.85733576933745
03/2021,GU,66,76,168783,45.0282315162072
03/2021,HI,15,2306,1426393,161.6665252844062
03/2021,IA,19,14670,3160553,464.1592784553842
